Timestamp,Original,Rewritten,Method,Count
2025-06-07 23:30:12,how to value inventory when there are joint products and by-products,how to value inventory when there are joint products and by-products,Fuzzy,32
2025-06-07 23:34:00,how to value inventory when there are joint products and by-products,how to value inventory when there are joint products and by-products,Fuzzy,32
2025-06-07 23:43:46,how to value inventory when there are joint products and by-products,how to value inventory when there are joint products and by-products,Fuzzy,32
2025-06-07 23:44:04,how to value inventory when there are joint products and by-products,how to value inventory when there are joint products and by-products,Fuzzy,32
2025-06-08 00:06:33,valuation of inventory using NRV method illustration,valuation of inventory using NRV method illustration,Fuzzy,32
2025-06-08 00:07:14,%example,%example,Command Filter,7
2025-06-08 00:07:32,abnormal loss in inventory,abnormal loss in inventory,Fuzzy,32
2025-06-08 00:07:58,invntory valu in case of less NRV,invntory valu in case of less NRV,Fuzzy,32
2025-06-08 00:08:14,#jointcost,#jointcost,Hashtag,0
2025-06-08 00:11:36,how to value inventory when there are joint products and by-products,how to value inventory when there are joint products and by-products,Fuzzy,32
2025-06-08 00:13:00,how to value inventory when there are joint products and by-products,how to value inventory when there are joint products and by-products,Fuzzy,32
2025-06-08 00:13:32,how to value inventory when there are joint products and by-products,how to value inventory when there are joint products and by-products,Fuzzy,32
2025-06-08 00:20:57,how to value inventory when there are joint products and by-products,how to value inventory when there are joint products and by-products,Fuzzy,32
2025-06-08 00:23:22,how to value inventory when there are joint products and by-products,how to value inventory when there are joint products and by-products,Fuzzy,32
2025-06-08 00:31:29,how to value inventory when there are joint products and by-products,how to value inventory when there are joint products and by-products,Fuzzy,32
2025-06-08 00:43:44,how to value inventory when there are joint products and by-products,how to value inventory when there are joint products and by-products,Fuzzy,32
2025-06-08 00:56:56,joint cost allocation,joint cost allocation,Fuzzy,32
2025-06-08 00:57:53,valuation of inventory with by-products,valuation of inventory with by-products,Fuzzy,32
2025-06-08 00:58:01,valuation of inventory with by-products,valuation of inventory with by-products,Fuzzy,32
2025-06-08 01:02:34,cost formula when items are interchangeable,cost formula when items are interchangeable,Semantic,1
2025-06-08 01:05:26,joint cost allocation,joint cost allocation,Fuzzy,32
2025-06-08 01:06:07,valuation of inventory with by-products,valuation of inventory with by-products,Semantic,10
2025-06-08 07:48:44,valuation of inventory with by-products,valuation of inventory with by-products,Semantic,10
2025-06-08 07:49:31,#126,#126,Hashtag,1
2025-06-08 07:49:54,%example,%example,Command Filter,7
2025-06-08 07:50:31,valuation of inventory when cost less that nrv,valuation of inventory when cost less that nrv,Semantic,10
